#Table29: Reduced Cu transitions according to the criteria and results obtained in Sect. 11
#
#wavelength/Angstrom, Ion, log(gf)_TOSS, log(gf)_Kurucz, E_low/cm^-1, E_up/cm^-1
#
1040.38,IV,0.37,0.43,213535,309653
1040.43,VI,-0.94,-1.02,299293,395407
1040.52,IV,0.85,0.92,194339,290445
1040.55,VI,-1.57,-1.53,309111,405214
1040.68,IV,-1.44,-1.41,200483,296573
1040.86,V,-1.54,-1.44,227543,323617
1040.86,IV,-1.42,-1.35,197325,293399
1041.17,IV,-1.14,-1.15,195684,291730
1041.25,IV,-0.03,0.12,243725,339764
1041.26,V,-1.79,-1.75,222886,318923
1041.36,V,-2.19,-2.10,223376,319404
1041.80,IV,0.08,0.13,213665,309653
1042.01,V,-2.49,-2.46,190100,286069
1042.06,IV,-1.13,-1.17,223623,319587
1042.11,V,-1.97,-1.93,189587,285546
1042.25,IV,0.43,0.54,243029,338975
1042.30,V,-1.75,-1.73,220208,316149
1042.36,IV,-1.51,-1.43,193434,289370
1042.44,V,-1.92,-1.90,221272,317201
1042.45,V,-2.05,-2.03,223477,319404
1042.46,IV,-0.23,-0.14,216071,311998
1042.51,IV,-0.56,-0.58,224071,319993
1042.72,IV,-0.32,-0.32,195827,291730
1043.06,IV,-1.78,-1.78,218000,313872
1043.26,IV,-1.03,-1.15,200720,296573
1043.36,IV,-0.86,-0.75,222666,318510
1043.51,IV,-0.53,-0.52,195055,290885
1043.54,IV,-1.35,-1.45,191762,287589
1043.56,IV,0.59,0.64,213665,309490
1043.68,IV,0.14,0.14,220917,316732
1043.75,IV,0.02,0.10,217445,313253
1044.06,IV,0.25,0.27,226271,322051
1044.34,IV,-0.02,0.07,195544,291299
1044.45,IV,-2.18,-2.12,195827,291571
1044.49,IV,0.95,1.00,193948,289688
1044.80,V,-1.24,-1.24,235053,330765
1044.84,V,-2.49,-2.46,223214,318923
1044.87,V,-1.29,-1.31,227801,323506
1044.92,IV,-1.07,-1.03,201211,296912
1045.06,V,-1.74,-1.70,188833,284521
1045.15,V,-2.33,-2.22,226889,322569
